commentDate, commentCount
2011-08-24,3
2011-08-25,1
2011-08-26,2
2011-08-27,4
2011-08-28,2
2011-08-31,1
2011-09-01,4
2011-09-02,10
2011-09-03,31
2011-09-04,4
2011-09-05,17
2011-09-06,12
2011-09-07,7
2011-09-08,12
2011-09-09,21
2011-09-10,3
2011-09-11,8
2011-09-12,14
2011-09-13,15
2011-09-14,15
2011-09-15,4
2011-09-16,14
2011-09-17,5
2011-09-18,11
2011-09-19,48
2011-09-20,19
2011-09-21,35
2011-09-22,13
2011-09-23,6
2011-09-24,19
2011-09-25,18
2011-09-26,11
2011-09-27,4
2011-09-28,17
2011-09-29,1
2011-09-30,1
2011-10-01,2
2011-10-03,8
2011-10-04,23
2011-10-05,32
2011-10-06,1
2011-10-07,3
2011-10-08,31
2011-10-09,3
2011-10-10,1
2011-10-11,53
2011-10-12,10
2011-10-13,29
2011-10-14,3
2011-10-16,1
2011-10-17,54
2011-10-18,42
2011-10-19,54
2011-10-20,32
2011-10-21,4
2011-10-22,9
2011-10-23,17
2011-10-24,3
2011-10-25,1
2011-10-26,16
2011-10-28,5
2011-10-29,9
2011-10-30,12
2011-10-31,6
2011-11-01,33
2011-11-02,20
2011-11-03,57
2011-11-04,17
2011-11-05,7
2011-11-06,35
2011-11-07,9
2011-11-08,27
2011-11-11,38
2011-11-12,1
2011-11-14,9
2011-11-15,16
2011-11-16,27
2011-11-17,15
2011-11-18,82
2011-11-19,102
2011-11-20,44
2011-11-21,113
2011-11-22,63
2011-11-23,115
2011-11-24,107
2011-11-25,135
2011-11-26,61
2011-11-27,91
2011-11-28,168
2011-11-29,142
2011-11-30,29
2011-12-01,98
2011-12-02,148
2011-12-03,67
2011-12-04,41
2011-12-05,101
2011-12-06,117
2011-12-07,60
2011-12-08,139
2011-12-09,91
2011-12-10,33
2011-12-11,35
2011-12-12,126
2011-12-13,63
2011-12-14,111
2011-12-15,118
2011-12-16,128
2011-12-17,12
2011-12-18,18
2011-12-19,264
2011-12-20,91
2011-12-21,137
2011-12-22,221
2011-12-23,47
2011-12-24,65
2011-12-25,60
2011-12-26,35
2011-12-27,27
2011-12-28,72
2011-12-29,70
2011-12-30,61
2011-12-31,76
2012-01-01,30
2012-01-02,51
2012-01-03,90
2012-01-04,67
2012-01-05,90
2012-01-06,75
2012-01-07,64
2012-01-08,46
2012-01-09,95
2012-01-10,120
2012-01-11,97
2012-01-12,82
2012-01-13,63
2012-01-14,26
2012-01-15,49
2012-01-16,94
2012-01-17,73
2012-01-18,27
2012-01-19,85
2012-01-20,85
2012-01-21,20
2012-01-23,104
2012-01-24,49
2012-01-25,30
2012-01-26,62
2012-01-27,55
2012-01-28,37
2012-01-29,21
2012-01-30,71
2012-01-31,40
2012-02-01,42
2012-02-02,64
2012-02-03,45
2012-02-04,21
2012-02-05,48
2012-02-06,100
2012-02-07,97
2012-02-08,23
2012-02-09,28
2012-02-10,37
2012-02-11,24
2012-02-12,68
2012-02-13,91
2012-02-14,70
2012-02-15,55
2012-02-16,129
2012-02-17,20
2012-02-18,31
2012-02-19,37
2012-02-20,15
2012-02-21,67
2012-02-22,68
2012-02-23,58
2012-02-24,23
2012-02-25,13
2012-02-26,32
2012-02-27,67
2012-02-28,51
2012-02-29,37
2012-03-01,18
2012-03-02,54
2012-03-03,26
2012-03-04,3
2012-03-05,12
2012-03-06,73
2012-03-07,40
2012-03-08,7
2012-03-09,56
2012-03-10,20
2012-03-11,16
2012-03-12,38
2012-03-13,15
2012-03-14,11
2012-03-15,38
2012-03-16,16
2012-03-17,12
2012-03-18,1
2012-03-19,23
2012-03-20,37
2012-03-21,4
2012-03-22,83
2012-03-23,44
2012-03-24,43
2012-03-25,58
2012-03-26,199
2012-03-27,247
2012-03-28,130
2012-03-29,90
2012-03-30,121
2012-03-31,28
2012-04-01,103
2012-04-02,51
2012-04-03,76
2012-04-04,118
2012-04-05,114
2012-04-06,110
2012-04-07,18
2012-04-08,81
2012-04-09,84
2012-04-10,31
2012-04-11,3
2012-04-12,11
2012-04-13,54
2012-04-14,83
2012-04-15,31
2012-04-16,75
2012-04-17,35
2012-04-18,54
2012-04-19,82
2012-04-20,10
2012-04-21,37
2012-04-22,32
2012-04-23,77
2012-04-24,106
2012-04-25,210
2012-04-26,252
2012-04-27,155
2012-04-28,55
2012-04-29,152
2012-04-30,229
2012-05-01,217
2012-05-02,247
2012-05-03,281
2012-05-04,300
2012-05-05,220
2012-05-06,274
2012-05-07,243
2012-05-08,238
2012-05-09,161
2012-05-10,291
2012-05-11,324
2012-05-12,176
2012-05-13,210
2012-05-14,354
2012-05-15,460
2012-05-16,392
2012-05-17,458
2012-05-18,533
2012-05-19,175
2012-05-20,213
2012-05-21,315
2012-05-22,360
2012-05-23,332
2012-05-24,565
2012-05-25,371
2012-05-26,267
2012-05-27,190
2012-05-28,359
2012-05-29,506
2012-05-30,523
2012-05-31,299
2012-06-01,111
2012-06-02,290
2012-06-03,117
2012-06-04,248
2012-06-05,395
2012-06-06,529
2012-06-07,531
2012-06-08,401
2012-06-09,327
2012-06-10,249
2012-06-11,499
2012-06-12,533
2012-06-13,553
2012-06-14,676
2012-06-15,446
2012-06-16,450
2012-06-17,284
2012-06-18,550
2012-06-19,315
2012-06-20,217
2012-06-21,445
2012-06-22,473
2012-06-23,332
2012-06-24,339
2012-06-25,604
2012-06-26,664
2012-06-27,530
2012-06-28,617
2012-06-29,466
2012-06-30,327
2012-07-01,249
2012-07-02,582
2012-07-03,468
2012-07-04,553
2012-07-05,753
2012-07-06,588
2012-07-07,433
2012-07-08,384
2012-07-09,651
2012-07-10,760
2012-07-11,637
2012-07-12,493
2012-07-13,667
2012-07-14,552
2012-07-15,279
2012-07-16,569
2012-07-17,642
2012-07-18,591
2012-07-19,633
2012-07-20,483
2012-07-21,389
2012-07-22,342
2012-07-23,589
2012-07-24,630
2012-07-25,619
2012-07-26,418
2012-07-27,558
2012-07-28,394
2012-07-29,250
2012-07-30,418
2012-07-31,431
2012-08-01,270
2012-08-02,448
2012-08-03,346
2012-08-04,144
2012-08-05,154
2012-08-06,240
2012-08-07,457
2012-08-08,358
2012-08-09,461
2012-08-10,357
2012-08-11,290
2012-08-12,277
2012-08-13,557
2012-08-14,580
2012-08-15,449
2012-08-16,595
2012-08-17,557
2012-08-18,317
2012-08-19,344
2012-08-20,542
2012-08-21,786
2012-08-22,628
2012-08-23,640
2012-08-24,487
2012-08-25,442
2012-08-26,370
2012-08-27,531
2012-08-28,611
2012-08-29,678
2012-08-30,552
2012-08-31,306
2012-09-01,323
2012-09-02,211
2012-09-03,208
2012-09-04,195
2012-09-05,191
2012-09-06,127
2012-09-07,134
2012-09-08,109
2012-09-09,96
2012-09-10,134
2012-09-11,167
2012-09-12,159
2012-09-13,131
2012-09-14,178
2012-09-15,176
2012-09-16,105
2012-09-17,138
2012-09-18,173
2012-09-19,125
2012-09-20,139
2012-09-21,204
2012-09-22,176
2012-09-23,94
2012-09-24,274
2012-09-25,187
2012-09-26,216
2012-09-27,207
2012-09-28,207
2012-09-29,102
2012-09-30,61
2012-10-01,203
2012-10-02,156
2012-10-03,121
2012-10-04,116
2012-10-05,89
2012-10-06,78
2012-10-07,75
2012-10-08,172
2012-10-09,149
2012-10-10,126
2012-10-11,127
2012-10-12,194
2012-10-13,155
2012-10-14,62
2012-10-15,163
2012-10-16,126
2012-10-17,110
2012-10-18,190
2012-10-19,108
2012-10-20,74
2012-10-21,90
2012-10-22,157
2012-10-23,179
2012-10-24,147
2012-10-25,110
2012-10-26,84
2012-10-27,66
2012-10-28,82
2012-10-29,130
2012-10-30,154
2012-10-31,137
2012-11-01,123
2012-11-02,132
2012-11-03,115
2012-11-04,70
2012-11-05,155
2012-11-06,194
2012-11-07,188
2012-11-08,132
2012-11-09,125
2012-11-10,142
2012-11-11,79
2012-11-12,124
2012-11-13,168
2012-11-14,182
2012-11-15,107
2012-11-16,85
2012-11-17,99
2012-11-18,133
2012-11-19,180
2012-11-20,178
2012-11-21,240
2012-11-22,142
2012-11-23,203
2012-11-24,156
2012-11-25,117
2012-11-26,174
2012-11-27,166
2012-11-28,203
2012-11-29,162
2012-11-30,254
2012-12-01,258
2012-12-02,83
2012-12-03,199
2012-12-04,249
2012-12-05,232
2012-12-06,160
2012-12-07,144
2012-12-08,144
2012-12-09,173
2012-12-10,197
2012-12-11,266
2012-12-12,258
2012-12-13,178
2012-12-14,151
2012-12-15,132
2012-12-16,128
2012-12-17,249
2012-12-18,275
2012-12-19,209
2012-12-20,190
2012-12-21,157
2012-12-22,107
2012-12-23,82
2012-12-24,144
2012-12-25,85
2012-12-26,88
2012-12-27,124
2012-12-28,178
2012-12-29,154
2012-12-30,99
2012-12-31,112
2013-01-01,126
2013-01-02,123
2013-01-03,137
2013-01-04,108
2013-01-05,106
2013-01-06,127
2013-01-07,247
2013-01-08,146
2013-01-09,186
2013-01-10,306
2013-01-11,205
2013-01-12,340
2013-01-13,94
2013-01-14,107
2013-01-15,233
2013-01-16,141
2013-01-17,163
2013-01-18,171
2013-01-19,142
2013-01-20,137
2013-01-21,183
2013-01-22,153
2013-01-23,158
2013-01-24,104
2013-01-25,78
2013-01-26,119
2013-01-27,157
2013-01-28,142
2013-01-29,141
2013-01-30,154
2013-01-31,158
2013-02-01,90
2013-02-02,129
2013-02-03,126
2013-02-04,173
2013-02-05,158
2013-02-06,150
2013-02-07,128
2013-02-08,123
2013-02-09,73
2013-02-10,86
2013-02-11,131
2013-02-12,119
2013-02-13,142
2013-02-14,190
2013-02-15,111
2013-02-16,68
2013-02-17,151
2013-02-18,160
2013-02-19,149
2013-02-20,110
2013-02-21,113
2013-02-22,177
2013-02-23,127
2013-02-24,109
2013-02-25,182
2013-02-26,201
2013-02-27,198
2013-02-28,120
2013-03-01,127
2013-03-02,87
2013-03-03,115
2013-03-04,191
2013-03-05,124
2013-03-06,113
2013-03-07,135
2013-03-08,106
2013-03-09,65
2013-03-10,69
2013-03-11,111
2013-03-12,106
2013-03-13,249
2013-03-14,108
2013-03-15,137
2013-03-16,170
2013-03-17,223
2013-03-18,395
2013-03-19,292
2013-03-20,221
2013-03-21,197
2013-03-22,222
2013-03-23,172
2013-03-24,179
2013-03-25,169
2013-03-26,98
2013-03-27,117
2013-03-28,136
2013-03-29,192
2013-03-30,143
2013-03-31,138
2013-04-01,238
2013-04-02,309
2013-04-03,374
2013-04-04,162
2013-04-05,162
2013-04-06,98
2013-04-07,186
2013-04-08,211
2013-04-09,218
2013-04-10,243
2013-04-11,207
2013-04-12,65
2013-04-13,111
2013-04-14,58
2013-04-15,67
2013-04-16,94
2013-04-17,134
2013-04-18,99
2013-04-19,126
2013-04-20,119
2013-04-21,172
2013-04-22,217
2013-04-23,215
2013-04-24,184
2013-04-25,317
2013-04-26,211
2013-04-27,323
2013-04-28,146
2013-04-29,183
2013-04-30,248
2013-05-01,167
2013-05-02,145
2013-05-03,171
2013-05-04,88
2013-05-05,96
2013-05-06,244
2013-05-07,224
2013-05-08,214
2013-05-09,285
2013-05-10,192
2013-05-11,112
2013-05-12,185
2013-05-13,168
2013-05-14,195
2013-05-15,352
2013-05-16,197
2013-05-17,173
2013-05-18,115
2013-05-19,194
2013-05-20,263
2013-05-21,262
2013-05-22,262
2013-05-23,198
2013-05-24,155
2013-05-25,123
2013-05-26,166
2013-05-27,215
2013-05-28,207
2013-05-29,303
2013-05-30,134
2013-05-31,128
2013-06-01,108
2013-06-02,106
2013-06-03,216
2013-06-04,331
2013-06-05,356
2013-06-06,193
2013-06-07,119
2013-06-08,112
2013-06-09,151
2013-06-10,160
2013-06-11,159
2013-06-12,118
2013-06-13,159
2013-06-14,116
2013-06-15,100
2013-06-16,66
2013-06-17,254
2013-06-18,199
2013-06-19,176
2013-06-20,200
2013-06-21,238
2013-06-22,95
2013-06-23,100
2013-06-24,102
2013-06-25,177
2013-06-26,212
2013-06-27,340
2013-06-28,173
2013-06-29,67
2013-06-30,170
2013-07-01,158
2013-07-02,175
2013-07-03,196
2013-07-04,222
2013-07-05,191
2013-07-06,101
2013-07-07,155
2013-07-08,190
2013-07-09,160
2013-07-10,157
2013-07-11,164
2013-07-12,109
2013-07-13,41
2013-07-14,99
2013-07-15,141
2013-07-16,207
2013-07-17,140
2013-07-18,173
2013-07-19,225
2013-07-20,113
2013-07-21,74
2013-07-22,98
2013-07-23,185
2013-07-24,156
2013-07-25,194
2013-07-26,172
2013-07-27,108
2013-07-28,76
2013-07-29,155
2013-07-30,170
2013-07-31,180
2013-08-01,235
2013-08-02,201
2013-08-03,121
2013-08-04,170
2013-08-05,210
2013-08-06,115
2013-08-07,154
2013-08-08,255
2013-08-09,156
2013-08-10,79
2013-08-11,53
2013-08-12,63
2013-08-13,102
2013-08-14,131
2013-08-15,135
2013-08-16,131
2013-08-17,82
2013-08-18,56
2013-08-19,101
2013-08-20,80
2013-08-21,141
2013-08-22,215
2013-08-23,120
2013-08-24,165
2013-08-25,222
2013-08-26,251
2013-08-27,238
2013-08-28,188
2013-08-29,149
2013-08-30,186
2013-08-31,213
2013-09-01,76
2013-09-02,128
2013-09-03,152
2013-09-04,116
2013-09-05,216
2013-09-06,153
2013-09-07,60
2013-09-08,90
2013-09-09,115
2013-09-10,185
2013-09-11,126
2013-09-12,134
2013-09-13,274
2013-09-14,208
2013-09-15,108
2013-09-16,170
2013-09-17,179
2013-09-18,156
2013-09-19,147
2013-09-20,121
2013-09-21,108
2013-09-22,70
2013-09-23,88
2013-09-24,179
2013-09-25,189
2013-09-26,254
2013-09-27,180
2013-09-28,88
2013-09-29,132
2013-09-30,199
2013-10-01,178
2013-10-02,223
2013-10-03,221
2013-10-04,177
2013-10-05,216
2013-10-06,149
2013-10-07,228
2013-10-08,264
2013-10-09,205
2013-10-10,204
2013-10-11,140
2013-10-12,180
2013-10-13,217
2013-10-14,267
2013-10-15,236
2013-10-16,179
2013-10-17,188
2013-10-18,157
2013-10-19,165
2013-10-20,192
2013-10-21,372
2013-10-22,273
2013-10-23,216
2013-10-24,248
2013-10-25,171
2013-10-26,151
2013-10-27,178
2013-10-28,313
2013-10-29,228
2013-10-30,237
2013-10-31,212
2013-11-01,150
2013-11-02,214
2013-11-03,194
2013-11-04,285
2013-11-05,272
2013-11-06,196
2013-11-07,372
2013-11-08,184
2013-11-09,86
2013-11-10,114
2013-11-11,152
2013-11-12,261
2013-11-13,181
